"Nazwa";"Typ";"Miejscowosc";"Gmina";"Poczta";"KodPoczt";"Ulica";"NrDomu";"Telefon";"eMail";"KategUcz";"Publiczn";"Powiat";"Specyfika";"lon";"lat"
"Miejskie Przedszkole nr 64";"Przedszkole";"Katowice";"M. Katowice";"Katowice";"40-467";"Plac pod lipami";"2";322567071;"";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";19.0658671;50.2224926
"Miejskie Przedszkole nr 65";"Przedszkole";"Katowice";"M. Katowice";"Katowice";"40-379";"Ciesielska";"1";322569003;"mp65katowice@op.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";19.098132;50.263227
"Miejskie Przedszkole Nr 66";"Przedszkole";"Katowice";"M. Katowice";"Katowice";"40-353";"Brynicy";"50";322569728;"mp_66@interia.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";19.095921;50.268878
"Miejskie Przedszkole nr 67 z Oddziałami Integracyjnymi";"Przedszkole";"Katowice";"M. Katowice";"Katowice";"40-203";"al. Roździeńskiego";"88";322581036;"";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";19.0374005;50.2613889
"Miejskie Przedszkole Nr 71";"Przedszkole";"Katowice";"M. Katowice";"Katowice32";"40-748";"Michałowskiego";"3";322029770;"mp71katowice@gmail.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";18.9681684;50.1775987
"MIEJSKIE PRZEDSZKOLE NR 72";"Przedszkole";"Katowice";"M. Katowice";"Katowice";"40-749";"BIELSKA";"1";322556326;"mp72katowice@gmail.com";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";19.0414612;50.1923255
"Miejskie Przedszkole nr 73 im. Misia Uszatka w Katowicach";"Przedszkole";"Katowice";"M. Katowice";"Katowice";"40-136";"Słoneczna";"77a";322062032;"mp73@o2.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";19.0111549;50.2750519
"Miejskie Przedszkole nr 74";"Przedszkole";"Katowice";"M. Katowice";"Katowice";"40-203";"al. Roździeńskiego";"96";322589770;"mp74@op.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";19.0401883;50.2613405
"Miejskie Przedszkole Nr 75";"Przedszkole";"Katowice";"M. Katowice";"Katowice";"40-530";"Drozdów";"11c";322516648;"mp75-katowice@wp.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";19.0068859;50.233126
"Miejskie Przedszkole 76";"Przedszkole";"Katowice";"M. Katowice";"Katowice";"40-718";"KOŁOBRZESKA";"20/a";322523448;"zalewska76@interia.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";18.973164;50.2204769
"Miejskie Przedszkole nr 78";"Przedszkole";"Katowice";"M. Katowice";"Katowice";"40-645";"RADOCKIEGO";"62";322029059;"mp78@onet.eu";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";18.988462;50.2066815
"Miejskie Przedszkole Nr 81";"Przedszkole";"Katowice";"M. Katowice";"Piotrowice";"40-674";"Kostki Napierskiego";"9";322028045;"u.nizio@interia.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";18.9727002;50.2048283
"Miejskie Przedszkole nr 82 im. Dzieci z Leszczynowej Górki w Katowicach";"Przedszkole";"Katowice";"M. Katowice";"Katowice";"40-145";"Bytomska";"8 B";322588937;"mp82wkatowicach@poczta.onet.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";19.009937;50.2852559
"Miejskie Przedszkole84";"Przedszkole";"Katowice";"M. Katowice";"KATOWICE 8";"40-658";"Targowa";"13";322029104;"mp84katowice@interia.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";18.981463;50.2114509
"MIEJSKIE PRZEDSZKOLE NR 85";"Przedszkole";"Katowice";"M. Katowice";"Katowice";"40-824";"KWIATKOWSKIEGO";"20";322546820;"przedszkole85@o2.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";18.9677148;50.2616038
"Miejskie Przedszkole nr 87";"Przedszkole";"Katowice";"M. Katowice";"Katowice";"40-018";"Graniczna";"44";322551290;"przedszkole87@wp.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";19.0350783;50.2470539
"Miejskie Przedszkole nr 88";"Przedszkole";"Katowice";"M. Katowice";"Katowice";"40-560";"Grzyśki";"2";NA;"";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";18.9768048;50.230975
"Miejskie Przedszkole nr 89";"Przedszkole";"Katowice";"M. Katowice";"Katowice";"40-719";"Zadole";"26a";322545760;"mp89katowice@interia.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";18.973867;50.2191138
"Miejskie Przedszkole nr 90";"Przedszkole";"Katowice";"M. Katowice";"Bederowiec";"40-881";"B.Chrobrego";"39";322545742;"mp90katowice@op.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";18.9744849;50.281918
"Miejskie Przedszkole Nr 91 z Oddziałami Integracyjnymi w Katowicach";"Przedszkole";"Katowice";"M. Katowice";"Katowice";"40-467";"Adama";"33";322560258;"przedszkole_91@o2.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";19.073308;50.2173419
"Miejskie Przedszkole Nr 92";"Przedszkole";"Katowice";"M. Katowice";"Katowice - Brynów";"40-521";"Kormoranów";"22";322516360;"mp92@interia.eu";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";19.0081607;50.2378482
"Miejskie Przedszkole nr 93";"Przedszkole";"Katowice";"M. Katowice";"Katowice";"40-648";"Łętowskiego";"24";322030062;"mp93katowice@op.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";18.9871836;50.204958
"Miejskie Przedszkole Nr 94 im. Małego Księcia w Katowicach";"Przedszkole";"Katowice";"M. Katowice";"Katowice";"40-837";"Rataja";"10";322547265;"mp94katowice@op.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";18.9737586;50.26138
"MIEJSKIE PRZEDSZKOLE NR 95";"Przedszkole";"Katowice";"M. Katowice";"Katowice";"40-230";"PIASKOWA";"1";322552968;"przedszkole95@gmail.coml";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";19.0498239;50.259628
"Miejskie Przedszkole Nr 97";"Przedszkole";"Katowice";"M. Katowice";"Bogucice";"40-219";"Wiślana";"9";322062207;"mp97@vp.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";19.046868;50.267595
"Miejskie Przedszkole nr 99 w Katowicach";"Przedszkole";"Katowice";"M. Katowice";"Katowice";"40-755";"Józefa Płochy";"6";322063016;"mp99katowice@interia.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";18.9612679;50.2346614
"Niepubliczne Przedszkole z Oddziałami Integracyjnymi przy Niepublicznej Szkole Podstawowej Nasza Szkoła";"Przedszkole";"Katowice";"M. Katowice";"Katowice";"40-659";"Harcerzy Wrzesnia 1939";"5";883999710;"naszaszkola@economicus.eu";"Dzieci lub młodzież";"niepubliczna";"Powiat m. Katowice";"brak specyfiki";18.9775774;50.2123218
"Niepubliczne Przedszkole Słonik z oddziałem integracyjnym";"Przedszkole";"Katowice";"M. Katowice";"Katowice";"40-833";"Obroki";"70";663881331;"ela-konopka@o2.pl";"Dzieci lub młodzież";"niepubliczna";"Powiat m. Katowice";"brak specyfiki";18.9683651;50.2670895
"Miejskie Przedszkole nr 80";"Przedszkole";"Katowice";"M. Katowice";"Katowice";"40-773";"Panewnicka";"349";322523850;"przedszkole80@poczta.onet.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";18.9348709;50.2286129
"Przedszkole";"Przedszkole";"Katowice";"M. Katowice";"Katowice";"40-126";"Grażyńskiego";"17";322584359;"biuro.nieslyszacy.katowice@gmail.com";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"specjalna";19.017575;50.2668834
"Miejskie Przedszkole nr 58";"Przedszkole";"Katowice";"M. Katowice";"Katowice";"40-309";"Grzegorzka";"4";322566276;"mp58@poczta.onet.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";19.0664761;50.2775445
"aAcademy Niepubliczne Przedszkole Integracyjne z Oddziałami Specjalnymi";"Przedszkole";"Katowice";"M. Katowice";"Katowice";"40-710";"ZIELONOGÓRSKA";"1";601290441;"";"Dzieci lub młodzież";"niepubliczna";"Powiat m. Katowice";"brak specyfiki";18.97701;50.2252359
"Niepubliczne Przedszkole Fundacji Elementarz w Katowicach";"Przedszkole";"Katowice";"M. Katowice";"Katowice";"40-743";"Studencka";"20";322535074;"przedszkolaki@elementarz.edu.pl";"Dzieci lub młodzież";"niepubliczna";"Powiat m. Katowice";"brak specyfiki";18.9587991;50.2164437
"Artystyczny Punkt Przedszkolny Arabesque";"Punkt przedszkolny";"Katowice";"M. Katowice";"Katowice";"40-032";"Dąbrowskiego";"24/2";509817117;"";"Dzieci lub młodzież";"niepubliczna";"Powiat m. Katowice";"brak specyfiki";19.026905;50.2549566
"Niepubliczne Jednooddziałowe Przedszkole Jaś i Małgosia";"Punkt przedszkolny";"Katowice";"M. Katowice";"Katowice";"40-668";"Bażantów";"53/6";NA;"edyta-kosciuk@wp.pl";"Dzieci lub młodzież";"niepubliczna";"Powiat m. Katowice";"brak specyfiki";18.9910493;50.2007067
"Punkt Przedszkolny Przytulny Kącik";"Punkt przedszkolny";"Katowice";"M. Katowice";"Katowice";"40-219";"Kujawska";"4a";606885601;"przytulny@gmail.com";"Dzieci lub młodzież";"niepubliczna";"Powiat m. Katowice";"brak specyfiki";19.0482479;50.266591
"Terapeutyczny Punkt Przedszkolny Kraina Marzeń";"Punkt przedszkolny";"Katowice";"M. Katowice";"Katowice";"40-749";"Piernikarczyka";"12";665194440;"gabinet@persona-psycholog.pl";"Dzieci lub młodzież";"niepubliczna";"Powiat m. Katowice";"brak specyfiki";19.0376714;50.2001404
"Akademia Przedszkolaka Małe Kroczki";"Punkt przedszkolny";"Katowice";"M. Katowice";"Katowice";"40-857";"Ondraszka";"12";784935951;"przedszkole@malekroczki.pl";"Dzieci lub młodzież";"niepubliczna";"Powiat m. Katowice";"brak specyfiki";18.9953713;50.2642785
"Niepubliczny Specjalny Punkt Przedszkolny Błękitna Kraina";"Punkt przedszkolny";"Katowice";"M. Katowice";"Katowice";"40-060";"KOSSAK-SZCZUCKIEJ";"32";601290441;"";"Dzieci lub młodzież";"niepubliczna";"Powiat m. Katowice";"brak specyfiki";18.9844094;50.2334072
"Szkoła Podstawowa nr 36 im. K. K. Baczyńskiego";"Szkoła podstawowa";"Katowice";"M. Katowice";"Katowice";"40-134";"Iłłakowiczówny";"13";322583518;"sp36katowice@wp.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";19.0198979;50.2730108
"Szkoła Podstawowa Nr 37 w Katowicach";"Szkoła podstawowa";"Katowice";"M. Katowice";"Katowice";"40-038";"Lompy";"17";322564617;"szkola-37@katowice.home.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";19.023382;50.2503057
"Szkoła Podstawowa nr 42";"Szkoła podstawowa";"Katowice";"M. Katowice";"Katowice";"40-374";"Wiosny Ludów";"22";322568276;"szpod42@wp.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";19.0984548;50.2622292
"SZKOŁA PODSTAWOWA NR 44";"Szkoła podstawowa";"Katowice";"M. Katowice";"Katowice";"40-354";"MORAWA";"86";322569825;"sp44kat@op.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";19.10295;50.264769
"Szkoła Podstawowa nr 45 im. Kornela Makuszyńskiego";"Szkoła podstawowa";"Katowice";"M. Katowice";"Katowice";"40-338";"Korczaka";"11";322568308;"sp45kat@gazeta.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";19.083962;50.2691337
"Szkoła Podstawowa nr 48";"Szkoła podstawowa";"Katowice";"M. Katowice";"Katowice";"40-749";"Bielska 14";"14";322556207;"sp48katowice@op.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";19.045461;50.199135
"Szkoła Podstawowa nr 29 im. F.Żwirki i S.Wigury w Katowicach";"Szkoła podstawowa";"Katowice";"M. Katowice";"Katowice";"40-750";"K.Lepszego";"2";322028375;"sp29katowice@tlen.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";18.998126;50.182407
"Szkoła Podstawowa nr 31 im. H. Sienkiewicza";"Szkoła podstawowa";"Katowice";"M. Katowice";"Katowice";"40-232";"Marcinkowskiego";"17";322554230;"sp31sienkiewicz@poczta.onet.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";19.0592138;50.2603614
"Szkoła Podstawowa nr 34";"Szkoła podstawowa";"Katowice";"M. Katowice";"Katowice";"40-710";"ZIELONOGÓRSKA";"3";322225168;"sp34_katowice@interia.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";18.976256;50.22445
"Szkoła Podstawowa nr 15";"Szkoła podstawowa";"Katowice";"M. Katowice";"Katowice";"40-069";"Ks. Bpa St. Adamskiego";"24";322517304;"sp15katowice@wp.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";19.0020114;50.2522271
"Szkołą Podstawowa nr 17";"Szkoła podstawowa";"Katowice";"M. Katowice";"Katowice";"40-140";"Dekerta";"1";322581889;"spnr17@op.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";19.0160475;50.2845345
"Szkoła Podstawowa nr 19 w Katowicach";"Szkoła podstawowa";"Katowice";"M. Katowice";"Katowice";"40-110";"Agnieszki";"2";322546261;"sp_19_dyrektor@op.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";19.0042545;50.2787878
"Szkoła Postawowa nr 21 z Oddziałami Integracyjnymi";"Szkoła podstawowa";"Katowice";"M. Katowice";"Katowice";"40-748";"Jacka Malczewskiego";"1";322029719;"sp21kat@onet.eu";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";18.9698494;50.1784269
"Szkoła Podstawowa nr22 im.Juliusza Słowackiego";"Szkoła podstawowa";"Katowice";"M. Katowice";"Katowice";"40-859";"Wolskiego";"3";322542003;"sp22katow@wp.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";18.986522;50.2661356
"Szkoła Podstawowa nr 5";"Szkoła podstawowa";"Katowice";"M. Katowice";"Katowice";"40-594";"Gallusa";"5";322521118;"sp5kt@gazeta.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";18.9937826;50.2427861
"Szkoła Podstawowa nr 2";"Szkoła podstawowa";"Katowice";"M. Katowice";"Katowice";"40-871";"al. Roździeńskiego";"82";322586502;"sp.nr2@neostrada.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";19.0381545;50.2602235
"Szkoła Podstawowa nr 9 im. Jana Brzechwy w Katowicach";"Szkoła podstawowa";"Katowice";"M. Katowice";"Katowice";"40-772";"Panewnicka";"172";322527884;"sekretariat@sp9.katowice.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";18.9484819;50.230492
"Szkoła Podstawowa nr 10 w Katowicach";"Szkoła podstawowa";"Katowice";"M. Katowice";"Katowice";"40-095";"Stawowa";"6";322596814;"szkpodst10@interia.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";19.018484;50.2603159
"Szkoła Podstawowa Nr 11 z Oddziałami Integracyjnymi im. Tadeusza Kościuszki w Katowicach";"Szkoła podstawowa";"Katowice";"M. Katowice";"Katowice";"40-551";"Nasypowa";"16";322571585;"sekretariat@sp11katowice.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";18.990441;50.2286639
"Szkoła Podstawowa nr 53";"Szkoła podstawowa";"Katowice";"M. Katowice";"Katowice";"40-423";"Plac Wyzwolenia";"18";322545740;"szkola53katowice@poczta.onet.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";19.0837035;50.2431139
"Szkoła Podstawowa nr 62";"Szkoła podstawowa";"Katowice";"M. Katowice";"Katowice";"40-164";"Ordona";"3d";322584813;"sekretariat@sp62katowice.szkolnastrona.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";19.0294046;50.2683431
"Szkoła Podstawowa nr 65 im. Gustawa Morcinka";"Szkoła podstawowa";"Katowice";"M. Katowice";"Katowice";"40-533";"Kukułek";"2a";322512301;"sp65katowice@tlen.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";19.005287;50.2294179
"Szkoła Podstawowa Nr 66 im. Janusza Korczaka w Katowicach";"Szkoła podstawowa";"Katowice";"M. Katowice";"Katowice";"40-870";"Bolesława Krzywoustego";"7";322541651;"sp66@rem-bit.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";18.9820636;50.2746026
"Szkoła Podstawowa nr 59";"Szkoła podstawowa";"Katowice";"M. Katowice";"Bederowiec";"40-881";"Bolesława Chrobrego";"5";322546579;"sp59.katowice@wp.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";18.967983;50.280929
"Szkoła Podstawowa nr 12";"Szkoła podstawowa";"Katowice";"M. Katowice";"Katowice";"40-282";"Paderewskiego";"46";322555036;"sp12katowice@o2.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";19.0367477;50.2502463
"Szkoła Podstawowa nr 51 z Oddziałami Integracyjnymi";"Szkoła podstawowa";"Katowice";"M. Katowice";"Giszowiec";"40-467";"Przyjazna";"7a";323512070;"sekretariat@szkola51.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";19.0705313;50.2233376
"Szkoła Podstawowa nr 18 w Katowicach";"Szkoła podstawowa";"Katowice";"M. Katowice";"Katowice";"40-106";"Sportowa";"29";NA;"sp18katowice@op.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";18.9974806;50.2741209
"Szkoła Podstawowa nr 32";"Szkoła podstawowa";"Katowice";"M. Katowice";"Katowice- Piotrowice";"40-685";"Sobańskiego";"86";322029320;"SP32K_ce@poczta.onet.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";18.9635642;50.2077431
"Szkoła Podstawowa nr 13 im. św. Barbary w Katowicach";"Szkoła podstawowa";"Katowice";"M. Katowice";"Katowice";"40-214";"Wróblewskiego";"42-44";322583566;"trzynastkasp@wp.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";19.0420196;50.2678875
"Prywatna Szkoła Podstawowa Fundacji Elementarz";"Szkoła podstawowa";"Katowice";"M. Katowice";"Katowice";"40-743";"Studencka";"18";322045908;"szkolapodstawowa@elementarz.edu.pl";"Dzieci lub młodzież";"niepubliczna o uprawnieniach szkoły publicznej";"Powiat m. Katowice";"brak specyfiki";18.9596128;50.2157856
"Szkoła Podstawowa dla Chłopców Kuźnica";"Szkoła podstawowa";"Katowice";"M. Katowice";"Katowice";"40-216";"Słowiańska";"1";322068064;"info@wegielek.edu.pl";"Dzieci lub młodzież";"niepubliczna o uprawnieniach szkoły publicznej";"Powiat m. Katowice";"brak specyfiki";19.0470067;50.2685094
"Szkoła Podstawowa dla Dziewcząt Płomień";"Szkoła podstawowa";"Katowice";"M. Katowice";"Katowice";"40-488";"Karliczka";"15";664195196;"info@wegielek.edu.pl";"Dzieci lub młodzież";"niepubliczna o uprawnieniach szkoły publicznej";"Powiat m. Katowice";"brak specyfiki";19.064356;50.2263559
"Prywatna Szkoła Podstawowa Complex of Silesian International Schools";"Szkoła podstawowa";"Katowice";"M. Katowice";"Katowice";"40-832";"Witosa";"18";322549194;"sekretariat@nasze-szkoly.edu.pl";"Dzieci lub młodzież";"niepubliczna o uprawnieniach szkoły publicznej";"Powiat m. Katowice";"brak specyfiki";18.9698177;50.2589031
"Prywatna Szkoła Podstawowa Szkoła jak Dom";"Szkoła podstawowa";"Katowice";"M. Katowice";"Katowice";"40-832";"Witosa";"18";322549194;"sekretariat@nasze-szkoly.edu.pl";"Dzieci lub młodzież";"niepubliczna o uprawnieniach szkoły publicznej";"Powiat m. Katowice";"brak specyfiki";18.9698177;50.2589031
"Społeczna Szkoła Podstawowa Stowarzyszenia Rodziców i Nauczycieli";"Szkoła podstawowa";"Katowice";"M. Katowice";"Katowice";"40-507";"Francuska";"80";322551359;"korfantyslo@gmail.com";"Dzieci lub młodzież";"niepubliczna o uprawnieniach szkoły publicznej";"Powiat m. Katowice";"brak specyfiki";19.024954;50.2427784
"Niepubliczna Katolicka Szkoła Podstawowa im. Św. Rodziny w Katowicach";"Szkoła podstawowa";"Katowice";"M. Katowice";"Katowice";"40-578";"Zofii Kossak - Szczuckiej";"24";327246525;"szkola.katolicka@hotmail.com";"Dzieci lub młodzież";"niepubliczna o uprawnieniach szkoły publicznej";"Powiat m. Katowice";"brak specyfiki";18.9854879;50.2338139
"Szkoła Podstawowa Zakonu Pijarów";"Szkoła podstawowa";"Katowice";"M. Katowice";"Katowice";"40-750";"Pijarska";"7";668864713;"katowice@pijarzy.pl";"Dzieci lub młodzież";"niepubliczna o uprawnieniach szkoły publicznej";"Powiat m. Katowice";"brak specyfiki";18.9815431;50.1972386
"Społeczna Szkoła Podstawowa Nr 1 im.S.Konarskiego STO";"Szkoła podstawowa";"Katowice";"M. Katowice";"Katowice";"40-066";"Mikołowska";"26";322512344;"sekretariat@stoszkola.pl";"Dzieci lub młodzież";"niepubliczna o uprawnieniach szkoły publicznej";"Powiat m. Katowice";"brak specyfiki";19.0111579;50.254819
"Katolicka Szkoła Podstawowa Stowarzyszenia Rodzin Katolickich Archidiecezji Katowickiej";"Szkoła podstawowa";"Katowice";"M. Katowice";"Katowice";"40-208";"Ścigały";"17";323529950;"kaespe@poczta.onet.pl";"Dzieci lub młodzież";"niepubliczna o uprawnieniach szkoły publicznej";"Powiat m. Katowice";"brak specyfiki";19.0391355;50.2650871
"Społeczna Szkoła Podstawowa OMEGA im. Górnośląskich Noblistów w Katowicach";"Szkoła podstawowa";"Katowice";"M. Katowice";"Katowice";"40-862";"Gliwicka";"276";322545124;"sekretariat@omegaszkola.pl";"Dzieci lub młodzież";"niepubliczna o uprawnieniach szkoły publicznej";"Powiat m. Katowice";"brak specyfiki";18.963708;50.272571
"Niepubliczna Specjalna Szkoła Podstawowa Arka Noego";"Szkoła podstawowa";"Katowice";"M. Katowice";"Katowice-Panewniki";"40-771";"Gromadzka";"59";327242742;"";"Dzieci lub młodzież";"niepubliczna o uprawnieniach szkoły publicznej";"Powiat m. Katowice";"specjalna";18.9449219;50.228041
"Społeczna Szkoła Podstawowa Nasza Dobra Szkoła";"Szkoła podstawowa";"Katowice";"M. Katowice";"Katowice";"40-111";"Krzyżowa";"12";512613226;"szkola@stow.com.pl";"Dzieci lub młodzież";"niepubliczna o uprawnieniach szkoły publicznej";"Powiat m. Katowice";"brak specyfiki";19.007063;50.278388
"Niepubliczna Szkoła Podstawowa Akademia Montessori";"Szkoła podstawowa";"Katowice";"M. Katowice";"Katowice";"40-664";"Kostki Napierskiego";"38";604569666;"sekretariat@akademiamontessori.edu.pl";"Dzieci lub młodzież";"niepubliczna o uprawnieniach szkoły publicznej";"Powiat m. Katowice";"brak specyfiki";18.9774473;50.2049285
"Dwujęzyczna Szkoła Podstawowa English Montessori School";"Szkoła podstawowa";"Katowice";"M. Katowice";"Katowice";"40-594";"Józefa Gallusa";"10";NA;"";"Dzieci lub młodzież";"niepubliczna o uprawnieniach szkoły publicznej";"Powiat m. Katowice";"brak specyfiki";18.9939562;50.2437699
"Szkoła Podstawowa nr 67 z Oddziałami Integracyjnymi im. Komisji Edukacji Narodowej";"Szkoła podstawowa";"Katowice";"M. Katowice";"Panewniki";"40-756";"Zielona";"5";322023910;"sp67katowice@interia.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";18.9595809;50.234658
"Szkoła Podstawowa Nr 7 Specjalna";"Szkoła podstawowa";"Katowice";"M. Katowice";"Katowice";"40-006";"Szkolna";"5";322539570;"sp7gim25@wp.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"specjalna";19.0262609;50.25927
"Szkoła Podstawowa nr 39 Specjalna";"Szkoła podstawowa";"Katowice";"M. Katowice";"Katowice";"40-208";"Ścigały";"17";322047671;"zespolszkolnr9@gmail.com";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"specjalna";19.0391355;50.2650871
"Szkoła Podstawowa nr 60 specjalna";"Szkoła podstawowa";"Katowice";"M. Katowice";"Katowice";"40-852";"Gliwicka";"148a";322541867;"zss11@op.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"specjalna";18.988286;50.26625
"SZKOŁA PODST.SPECJALNA NR61 przy ZESPOLE NR12";"Szkoła podstawowa";"Katowice";"M. Katowice";"Katowice";"40-718";"KOŁOBRZESKA";"8";322526773;"zss_nr12k@op.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"specjalna";18.971203;50.2205899
"Szkoła Podstawowa dla Dzieci Chorych";"Szkoła podstawowa";"Katowice";"M. Katowice";"Katowice";"40-752";"Medyków";"16";322071675;"zss6@op.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"specjalna";18.9506599;50.2238678
"Szkoła Podstawowa Specjalna Nr 6";"Szkoła podstawowa";"Katowice";"M. Katowice";"Janów";"40-414";"zamkowa";"2a";322557195;"zssnr7@poczta.onet.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"specjalna";19.0852389;50.243331
"Szkoła Podstawowa nr 33";"Szkoła podstawowa";"Katowice";"M. Katowice";"Katowice";"40-832";"Witosa";"23";322540371;"sekretariat@zso7.katowice.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";18.972888;50.2592086
"Szkoła Podstawowa z Oddziałami Integracyjnymi nr 58";"Szkoła podstawowa";"Katowice";"M. Katowice";"Katowice";"40-870";"Bolesława Krzywoustego";"11";322543679;"sekretariat@zsi1katowice.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";18.9779357;50.2749077
"Niepubliczna Szkoła Podstawowa Wesołe Słoneczka z oddziałami integracyjnymi";"Szkoła podstawowa";"Katowice";"M. Katowice";"Katowice";"40-560";"HETMAŃSKA";"7";322048243;"DYREKTOR@WESOLESLONECZKA.PL";"Dzieci lub młodzież";"niepubliczna o uprawnieniach szkoły publicznej";"Powiat m. Katowice";"specjalna";18.977006;50.232802
"Niepubliczna Szkoła Podstawowa z Oddziałami Integracyjnymi Nasza Szkoła";"Szkoła podstawowa";"Katowice";"M. Katowice";"Katowice";"40-659";"Harcerzy Września 1939";"5";883999710;"naszaszkola@economicus.eu";"Dzieci lub młodzież";"niepubliczna o uprawnieniach szkoły publicznej";"Powiat m. Katowice";"brak specyfiki";18.9775774;50.2123218
